datecurrent,fireyear,incidentname,perimeterdatetime,gisacres,lat,lon,geometry,index_right,NAME,fire_date,year,month,lon_adj,date,temp_month,precip_month
2010-09-15 00:00:00,2006,FARMERS CANYON,2006-06-11 11:50:00,37.15846543,38.851838072665075,-108.5338471794251,POINT (-108.5338471794251 38.851838072665075),284,Mesa County,2006-06-11 11:50:00,2006,6,251.4661528205749,2006-06-11 11:50:00,74.33761718750004,0.024110943863372085
2018-07-14 00:00:00,2018,FAWN,2018-07-13 22:30:00,1117.47478537,39.75509843106104,-108.40662671501602,POINT (-108.40662671501602 39.75509843106104),297,Rio Blanco County,2018-07-13 22:30:00,2018,7,251.59337328498398,2018-07-13 22:30:00,74.55646484375004,0.04304417141083395
2018-06-18 00:00:00,2018,FOURMILE,2018-06-15 15:20:00,260.68783727,40.84552863043747,-107.57032324222878,POINT (-107.57032324222878 40.84552863043747),286,Moffat County,2018-06-15 15:20:00,2018,6,252.42967675777123,2018-06-15 15:20:00,65.99811523437504,0.011060742573224707
2010-09-15 00:00:00,2005,FRYING PAN WFU,2005-07-16 16:45:00,31.06833927,39.255007704030945,-106.5740776955959,POINT (-106.5740776955959 39.255007704030945),294,Pitkin County,2005-07-16 16:45:00,2005,7,253.42592230440408,2005-07-16 16:45:00,54.171113281250044,0.039629126100917345
,2001,Family,2001-07-20 00:00:00,27.86151093,39.962888716257616,-108.4706461938671,POINT (-108.4706461938671 39.962888716257616),297,Rio Blanco County,2001-07-20 00:00:00,2001,7,251.52935380613292,2001-07-20 00:00:00,70.67213867187505,0.02549254698238219
2010-10-14 00:00:00,2003,Fawn Creek,2003-07-11 00:00:00,21.47062665,39.85273973344181,-108.31008407356724,POINT (-108.31008407356724 39.85273973344181),297,Rio Blanco County,2003-07-11 00:00:00,2003,7,251.68991592643277,2003-07-11 00:00:00,78.06461914062504,0.01103581868102192
2012-12-11 00:00:00,2012,Fern Lake,2012-12-10 08:10:00,3497.6369525,40.35563481949954,-105.65037156486322,POINT (-105.65037156486322 40.35563481949954),280,Larimer County,2012-12-10 08:10:00,2012,12,254.34962843513676,2012-12-10 08:10:00,13.105537109375039,0.058552575214393436
2010-10-14 00:00:00,2002,Ferndale,2002-07-19 00:00:00,33.98559479,40.77788724402597,-107.64529984189817,POINT (-107.64529984189817 40.77788724402597),286,Moffat County,2002-07-19 00:00:00,2002,7,252.35470015810182,2002-07-19 00:00:00,72.62331054687505,0.012831772341337637
2012-07-01 00:00:00,2012,Flagstaff,2012-07-01 02:08:00,264.96737649,39.95892236343361,-105.30028296833507,POINT (-105.30028296833507 39.95892236343361),251,Boulder County,2012-07-01 02:08:00,2012,7,254.69971703166493,2012-07-01 02:08:00,70.35485351562505,0.12884652196520474
2011-11-04 00:00:00,2006,Flaming Gulch,2006-06-30 00:00:00,146.01713324,40.63289677167347,-109.00024744055266,POINT (-109.00024744055266 40.63289677167347),286,Moffat County,2006-06-30 00:00:00,2006,6,250.99975255944736,2006-06-30 00:00:00,70.20324218750005,0.008238852554351615
2013-11-07 00:00:00,2013,Flat Iron,2013-08-19 16:00:00,0.70902854,37.70774221642604,-108.6038133783059,POINT (-108.6038133783059 37.70774221642604),262,Dolores County,2013-08-19 16:00:00,2013,8,251.39618662169408,2013-08-19 16:00:00,64.00167968750004,0.07358133388317656
2010-10-13 00:00:00,2006,Flowing Well,2006-08-14 08:00:00,48.22469685,40.26927665437769,-108.62118289028403,POINT (-108.62118289028403 40.26927665437769),286,Moffat County,2006-08-14 08:00:00,2006,8,251.37881710971595,2006-08-14 08:00:00,72.36798828125004,0.03912647746945731
2018-03-05 00:00:00,2018,Forest Ridge,2018-03-04 15:09:00,352.83960323,39.2828516319381,-104.45083766994252,POINT (-104.45083766994252 39.2828516319381),265,Elbert County,2018-03-04 15:09:00,2018,3,255.54916233005747,2018-03-04 15:09:00,39.17565429687504,0.03136392253466183
2011-08-25 00:00:00,2011,Forget Me Not,2011-08-24 00:00:00,2.75364593,39.90199028055181,-108.46328112521819,POINT (-108.46328112521819 39.90199028055181),297,Rio Blanco County,2011-08-24 00:00:00,2011,8,251.5367188747818,2011-08-24 00:00:00,69.65919921875005,0.05495731980563141
2011-04-27 00:00:00,2011,Fort Lyons,2011-04-15 00:00:00,17186.9543936,38.07715805007112,-103.07431626734028,POINT (-103.07431626734028 38.07715805007112),250,Bent County,2011-04-15 00:00:00,2011,4,256.9256837326597,2011-04-15 00:00:00,56.59821289062504,0.03461695796197746
2016-08-02 00:00:00,2016,Fosset,2016-06-22 19:44:00,1.40457076,37.10253115414523,-107.4156611016581,POINT (-107.4156611016581 37.10253115414523),248,Archuleta County,2016-06-22 19:44:00,2016,6,252.5843388983419,2016-06-22 19:44:00,69.32257812500004,0.005825402933533769
2011-11-04 00:00:00,2006,Four Mile,2006-06-26 00:00:00,386.38130416,40.93768850859886,-107.62705749052866,POINT (-107.62705749052866 40.93768850859886),286,Moffat County,2006-06-26 00:00:00,2006,6,252.37294250947133,2006-06-26 00:00:00,67.37316406250005,0.007185504153907823
2015-09-09 00:00:00,2015,Four Mile,2015-08-18 13:00:00,1025.51172599,40.86467015967049,-107.68619052442111,POINT (-107.68619052442111 40.86467015967049),286,Moffat County,2015-08-18 13:00:00,2015,8,252.3138094755789,2015-08-18 13:00:00,68.82028320312504,0.043254301180201585
2011-11-03 00:00:00,2011,Fourmile,2011-10-18 00:00:00,280.52640826,40.96340701410903,-107.57419890546781,POINT (-107.57419890546781 40.96340701410903),286,Moffat County,2011-10-18 00:00:00,2011,10,252.42580109453218,2011-10-18 00:00:00,45.91247070312504,0.050602852757368234
2010-09-13 00:00:00,2010,Fourmile Canyon,2010-09-13 07:16:00,6179.20833649,40.05086993420461,-105.3842523733448,POINT (-105.3842523733448 40.05086993420461),251,Boulder County,2010-09-13 07:16:00,2010,9,254.6157476266552,2010-09-13 07:16:00,59.268769531250044,0.005002650952077238
2015-12-14 00:00:00,2015,Frank,2015-08-30 00:00:00,20.64922899,40.20493446726721,-108.63013263014656,POINT (-108.63013263014656 40.20493446726721),297,Rio Blanco County,2015-08-30 00:00:00,2015,8,251.36986736985344,2015-08-30 00:00:00,73.93903320312504,0.033845444791275076
2013-09-12 00:00:00,2013,Franks Bench,2013-09-11 11:00:00,105.47459855,38.60193460808707,-108.74358944611508,POINT (-108.74358944611508 38.60193460808707),284,Mesa County,2013-09-11 11:00:00,2013,9,251.2564105538849,2013-09-11 11:00:00,56.41627929687505,0.10940057860547676
2010-09-15 00:00:00,2009,Fravert,2009-05-21 00:00:00,4.81599159,39.555266870110536,-107.82770717723355,POINT (-107.82770717723355 39.555266870110536),268,Garfield County,2009-05-21 00:00:00,2009,5,252.17229282276645,2009-05-21 00:00:00,53.58795898437504,0.08357838129489682
2016-10-27 00:00:00,2016,Freeman,2016-10-19 09:00:00,344.31218783,39.36835521434223,-106.76443433068773,POINT (-106.76443433068773 39.36835521434223),264,Eagle County,2016-10-19 09:00:00,2016,10,253.23556566931228,2016-10-19 09:00:00,38.58107421875004,0.04624507199559594
2010-09-15 00:00:00,2008,Fridge,2008-06-23 19:27:00,73.81725942,39.0374755131342,-108.40206817833183,POINT (-108.40206817833183 39.0374755131342),284,Mesa County,2008-06-23 19:27:00,2008,6,251.59793182166817,2008-06-23 19:27:00,71.47106445312505,0.018628581318916985
2011-11-04 00:00:00,2003,Fuhr,2003-07-15 00:00:00,36.12228906,40.44189945595319,-107.73949757057028,POINT (-107.73949757057028 40.44189945595319),286,Moffat County,2003-07-15 00:00:00,2003,7,252.26050242942972,2003-07-15 00:00:00,77.05915039062504,0.003604593274682702
,2000,Fuzzy,2000-07-31 00:00:00,17.09617333,39.77817376127681,-108.48122161588094,POINT (-108.48122161588094 39.77817376127681),297,Rio Blanco County,2000-07-31 00:00:00,2000,7,251.51877838411906,2000-07-31 00:00:00,70.67916992187504,0.022352670517284425
2018-07-02 00:00:00,2018,GOLF COURSE,2018-06-28 23:59:00,17.13311925,40.2511090742544,-105.8505513505646,POINT (-105.8505513505646 40.2511090742544),270,Grand County,2018-06-28 23:59:00,2018,6,254.14944864943539,2018-06-28 23:59:00,54.586396484375044,0.034911119930975835
2016-09-15 00:00:00,2016,GOREWOOD,2016-09-14 15:00:00,8.66775541,40.037145193381505,-106.46995037796538,POINT (-106.46995037796538 40.037145193381505),270,Grand County,2016-09-14 15:00:00,2016,9,253.53004962203462,2016-09-14 15:00:00,52.78991210937504,0.03625612324469257
2016-08-15 00:00:00,2016,GREEN,2016-08-10 12:00:00,75.17090449,40.63213827444251,-108.96923506257855,POINT (-108.96923506257855 40.63213827444251),286,Moffat County,2016-08-10 12:00:00,2016,8,251.03076493742145,2016-08-10 12:00:00,70.24982421875004,0.011589996015877114
